partNumber,Element1,Element2,PlatedElement,Thickness,Stock,Price
P1111111838,Rh,,,160,58,345
P1111111839,Rh,,,200,171,310
P1111111840,Rh,,,240,97,280
P1111111841,Rh,,,280,155,250
P1111111842,Rh,,,320,87,225
P1111111843,Rh,,,360,54,205
P1111111844,Rh,,,400,166,185
P1111111845,Rh,,,440,122,165
P1111111846,Rh,,,480,149,150
P1111111847,Rh,,,520,79,135
P1111111848,Rh,,,560,92,120
P1111111849,Rh,,,600,30,110
P1111111850,Rh,,,640,71,100
P1111111851,Rh,,,680,79,90
P1111111852,Rh,,,720,149,80
P1111111853,Rh,,,760,136,70
P1111111854,Rh,,,800,43,65
P1111111855,Ru,,,2,12,685
P1111111856,Ru,,,4,156,620
P1111111857,Ru,,,10,22,555
P1111111858,Ru,,,20,107,500
P1111111859,Ru,,,40,109,450
P1111111860,Ru,,,80,58,405
P1111111861,Ru,,,120,148,365
P1111111862,Ru,,,160,21,330
P1111111863,Ru,,,200,35,295
P1111111864,Ru,,,240,195,265
P1111111865,Ru,,,280,108,240
P1111111866,Ru,,,320,45,215
P1111111867,Ru,,,360,85,195
P1111111868,Ru,,,400,38,175
P1111111869,Ru,,,440,185,155
P1111111870,Ru,,,480,17,140
P1111111871,Ru,,,520,106,125
P1111111872,Ru,,,560,91,115
P1111111873,Ru,,,600,48,105
P1111111874,Ru,,,640,167,95
P1111111875,Ru,,,680,131,85
P1111111876,Ru,,,720,80,75
P1111111877,Ru,,,760,149,70
P1111111878,Ru,,,800,189,60
P1111111879,Sn,,,2,72,605
P1111111880,Sn,,,4,162,545
P1111111881,Sn,,,10,142,490
P1111111882,Sn,,,20,9,440
P1111111883,Sn,,,40,54,395
P1111111884,Sn,,,80,65,355
P1111111885,Sn,,,120,158,320
P1111111886,Sn,,,160,102,290
P1111111887,Sn,,,200,163,260
P1111111888,Sn,,,240,85,235
P1111111889,Sn,,,280,110,210
P1111111890,Sn,,,320,41,190
P1111111891,Sn,,,360,181,170
P1111111892,Sn,,,400,103,155
P1111111893,Sn,,,440,157,140
P1111111894,Sn,,,480,74,125
P1111111895,Sn,,,520,28,110
P1111111896,Sn,,,560,195,100
P1111111897,Sn,,,600,49,90
P1111111898,Sn,,,640,118,80
P1111111899,Sn,,,680,115,75
P1111111900,Sn,,,720,188,65
P1111111901,Sn,,,760,134,60
P1111111902,Sn,,,800,88,55
P1111111903,Sn,Cu,,2,166,680
P1111111904,Sn,Cu,,4,119,610
P1111111905,Sn,Cu,,10,12,550
P1111111906,Sn,Cu,,20,36,495
P1111111907,Sn,Cu,,40,39,445
P1111111908,Sn,Cu,,80,102,400
P1111111909,Sn,Cu,,120,52,360
P1111111910,Sn,Cu,,160,75,325
P1111111911,Sn,Cu,,200,5,290
P1111111912,Sn,Cu,,240,76,265
P1111111913,Sn,Cu,,280,89,235
P1111111914,Sn,Cu,,320,41,215
P1111111915,Sn,Cu,,360,125,190
P1111111916,Sn,Cu,,400,197,170
P1111111917,Sn,Cu,,440,177,155
P1111111918,Sn,Cu,,480,15,140
P1111111919,Sn,Cu,,520,48,125
P1111111920,Sn,Cu,,560,139,115
P1111111921,Sn,Cu,,600,136,100
P1111111922,Sn,Cu,,640,178,90
P1111111923,Sn,Cu,,680,155,85
P1111111924,Sn,Cu,,720,135,75
P1111111925,Sn,Cu,,760,163,65
P1111111926,Sn,Cu,,800,186,60
