Serial Number,Part Number,Symbol,Composition
S1111127246,P1111111278,Au,
S1111127247,P1111111278,Sn,
S1111127247,P1111111278,Au,
S1111127248,P1111111278,Sn,
S1111127248,P1111111278,Au,
S1111127249,P1111111278,Sn,
S1111127249,P1111111278,Au,
S1111127250,P1111111278,Sn,
S1111127250,P1111111278,Au,
S1111127251,P1111111278,Sn,
S1111127251,P1111111278,Au,
S1111127252,P1111111278,Sn,
S1111127252,P1111111278,Au,
S1111127253,P1111111278,Sn,
S1111127253,P1111111278,Au,
S1111127254,P1111111278,Sn,
S1111127254,P1111111278,Au,
S1111127255,P1111111278,Sn,
S1111127255,P1111111278,Au,
S1111127256,P1111111278,Sn,
S1111127256,P1111111278,Au,
S1111127257,P1111111278,Sn,
S1111127257,P1111111278,Au,
S1111127258,P1111111278,Sn,
S1111127258,P1111111278,Au,
S1111127259,P1111111278,Sn,
S1111127259,P1111111278,Au,
S1111127260,P1111111278,Sn,
S1111127260,P1111111278,Au,
S1111127261,P1111111278,Sn,
S1111127261,P1111111278,Au,
S1111127262,P1111111278,Sn,
S1111127262,P1111111278,Au,
S1111127263,P1111111278,Sn,
S1111127263,P1111111278,Au,
S1111127264,P1111111278,Sn,
S1111127264,P1111111278,Au,
S1111127265,P1111111278,Sn,
S1111127265,P1111111278,Au,
S1111127266,P1111111278,Sn,
S1111127266,P1111111278,Au,
S1111127267,P1111111278,Sn,
S1111127267,P1111111278,Au,
S1111127268,P1111111278,Sn,
S1111127268,P1111111278,Au,
S1111127269,P1111111278,Sn,
S1111127269,P1111111278,Au,
S1111127270,P1111111278,Sn,
S1111127270,P1111111278,Au,
S1111127271,P1111111278,Sn,
S1111127271,P1111111278,Au,
S1111127272,P1111111278,Sn,
S1111127272,P1111111278,Au,
S1111127273,P1111111278,Sn,
S1111127273,P1111111278,Au,
S1111127274,P1111111278,Sn,
S1111127274,P1111111278,Au,
S1111127275,P1111111278,Sn,
S1111127275,P1111111278,Au,
S1111127276,P1111111278,Sn,
S1111127276,P1111111278,Au,
S1111127277,P1111111278,Sn,
S1111127277,P1111111278,Au,
S1111127278,P1111111278,Sn,
S1111127278,P1111111278,Au,
S1111127279,P1111111278,Sn,
S1111127279,P1111111278,Au,
S1111127280,P1111111278,Sn,
S1111127280,P1111111278,Au,
S1111127281,P1111111278,Sn,
S1111127281,P1111111278,Au,
S1111127282,P1111111278,Sn,
S1111127282,P1111111278,Au,
S1111127283,P1111111278,Sn,
S1111127283,P1111111278,Au,
S1111127284,P1111111278,Sn,
S1111127284,P1111111278,Au,
S1111127285,P1111111278,Sn,
S1111127285,P1111111278,Au,
S1111127286,P1111111278,Sn,
S1111127286,P1111111278,Au,
S1111127287,P1111111278,Sn,
S1111127287,P1111111278,Au,
S1111127288,P1111111278,Sn,
S1111127288,P1111111278,Au,
S1111127289,P1111111278,Sn,
S1111127289,P1111111278,Au,
S1111127290,P1111111278,Sn,
S1111127290,P1111111278,Au,
S1111127291,P1111111278,Sn,
S1111127291,P1111111278,Au,
S1111127292,P1111111278,Sn,
S1111127292,P1111111278,Au,
S1111127293,P1111111278,Sn,
S1111127293,P1111111278,Au,
S1111127294,P1111111278,Sn,
S1111127294,P1111111278,Au,
S1111127295,P1111111278,Sn,
S1111127295,P1111111278,Au,
S1111127296,P1111111278,Sn,
S1111127296,P1111111278,Au,
S1111127297,P1111111278,Sn,
S1111127297,P1111111278,Au,
S1111127298,P1111111278,Sn,
S1111127298,P1111111278,Au,
S1111127299,P1111111278,Sn,
S1111127299,P1111111278,Au,
S1111127300,P1111111278,Sn,
S1111127300,P1111111278,Au,
S1111127301,P1111111278,Sn,
S1111127301,P1111111278,Au,
S1111127302,P1111111278,Sn,
S1111127302,P1111111278,Au,
S1111127303,P1111111278,Sn,
S1111127303,P1111111278,Au,
S1111127304,P1111111278,Sn,
S1111127304,P1111111278,Au,
S1111127305,P1111111278,Sn,
S1111127305,P1111111278,Au,
S1111127306,P1111111278,Sn,
S1111127306,P1111111278,Au,
S1111127307,P1111111278,Sn,
S1111127307,P1111111278,Au,
S1111127308,P1111111278,Sn,
S1111127308,P1111111278,Au,
S1111127309,P1111111278,Sn,
S1111127309,P1111111278,Au,
S1111127310,P1111111278,Sn,
S1111127310,P1111111278,Au,
S1111127311,P1111111278,Sn,
S1111127311,P1111111278,Au,
S1111127312,P1111111278,Sn,
S1111127312,P1111111278,Au,
S1111127313,P1111111278,Sn,
S1111127313,P1111111278,Au,
S1111127314,P1111111278,Sn,
S1111127314,P1111111278,Au,
S1111127315,P1111111278,Sn,
S1111127315,P1111111278,Au,
S1111127316,P1111111278,Sn,
S1111127316,P1111111278,Au,
S1111127317,P1111111278,Sn,
S1111127317,P1111111278,Au,
S1111127318,P1111111278,Sn,
S1111127318,P1111111278,Au,
S1111127319,P1111111278,Sn,
S1111127319,P1111111278,Au,
S1111127320,P1111111278,Sn,
S1111127320,P1111111278,Au,
S1111127321,P1111111278,Sn,
S1111127321,P1111111278,Au,
S1111127322,P1111111278,Sn,
S1111127322,P1111111278,Au,
S1111127323,P1111111278,Sn,
S1111127323,P1111111278,Au,
S1111127324,P1111111278,Sn,
S1111127324,P1111111278,Au,
S1111127325,P1111111278,Sn,
S1111127325,P1111111278,Au,
S1111127326,P1111111279,Bi,100
S1111127327,P1111111279,Bi,100
S1111127328,P1111111279,Bi,100
S1111127329,P1111111279,Bi,100
S1111127330,P1111111279,Bi,100
S1111127331,P1111111279,Bi,100
S1111127332,P1111111279,Bi,100
S1111127333,P1111111279,Bi,100
S1111127334,P1111111279,Bi,100
S1111127335,P1111111279,Bi,100
S1111127336,P1111111279,Bi,100
S1111127337,P1111111279,Bi,100
S1111127338,P1111111279,Bi,100
S1111127339,P1111111279,Bi,100
S1111127340,P1111111279,Bi,100
S1111127341,P1111111279,Bi,100
S1111127342,P1111111279,Bi,100
S1111127343,P1111111279,Bi,100
S1111127344,P1111111279,Bi,100
S1111127345,P1111111279,Bi,100
S1111127346,P1111111279,Bi,100
S1111127347,P1111111279,Bi,100
S1111127348,P1111111279,Bi,100
S1111127349,P1111111279,Bi,100
S1111127350,P1111111279,Bi,100
S1111127351,P1111111279,Bi,100
S1111127353,P1111111279,Bi,100
S1111127354,P1111111279,Bi,100
S1111127355,P1111111279,Bi,100
S1111127356,P1111111279,Bi,100
S1111127357,P1111111279,Bi,100
S1111127358,P1111111279,Bi,100
S1111127359,P1111111279,Bi,100
S1111127360,P1111111279,Bi,100
S1111127361,P1111111279,Bi,100
S1111127363,P1111111279,Bi,100
S1111127364,P1111111279,Bi,100
S1111127365,P1111111279,Bi,100
S1111127367,P1111111279,Bi,100
S1111127368,P1111111279,Bi,100
S1111127369,P1111111279,Bi,100
S1111127370,P1111111279,Bi,100
S1111127371,P1111111279,Bi,100
S1111127372,P1111111279,Bi,100
S1111127373,P1111111279,Bi,100
S1111127374,P1111111279,Bi,100
S1111127375,P1111111279,Bi,100
S1111127376,P1111111279,Bi,100
S1111127377,P1111111279,Bi,100
S1111127378,P1111111279,Bi,100
S1111127379,P1111111279,Bi,100
S1111127380,P1111111279,Bi,100
S1111127381,P1111111279,Bi,100
S1111127382,P1111111279,Bi,100
S1111127383,P1111111279,Bi,100
S1111127384,P1111111279,Bi,100
S1111127385,P1111111279,Bi,100
S1111127386,P1111111279,Bi,100
S1111127387,P1111111279,Bi,100
S1111127388,P1111111280,Bi,100
S1111127389,P1111111280,Bi,100
S1111127390,P1111111280,Bi,100
S1111127391,P1111111280,Bi,100
S1111127392,P1111111280,Bi,100
S1111127393,P1111111280,Bi,100
S1111127394,P1111111280,Bi,100
S1111127395,P1111111280,Bi,100
S1111127396,P1111111280,Bi,100
S1111127397,P1111111280,Bi,100
S1111127398,P1111111281,Bi,100
S1111127399,P1111111281,Bi,100
S1111127400,P1111111281,Bi,100
S1111127401,P1111111281,Bi,100
S1111127402,P1111111281,Bi,100
S1111127403,P1111111281,Bi,100
S1111127404,P1111111281,Bi,100
S1111127405,P1111111281,Bi,100
S1111127406,P1111111281,Bi,100
S1111127407,P1111111281,Bi,100
S1111127408,P1111111281,Bi,100
S1111127409,P1111111281,Bi,100
S1111127410,P1111111281,Bi,100
S1111127411,P1111111281,Bi,100
S1111127412,P1111111281,Bi,100
S1111127413,P1111111281,Bi,100
S1111127414,P1111111281,Bi,100
S1111127415,P1111111281,Bi,100
S1111127416,P1111111281,Bi,100
S1111127417,P1111111281,Bi,100
S1111127418,P1111111281,Bi,100
S1111127419,P1111111281,Bi,100
S1111127420,P1111111281,Bi,100
S1111127421,P1111111281,Bi,100
S1111127422,P1111111281,Bi,100
S1111127423,P1111111281,Bi,100
S1111127424,P1111111281,Bi,100
S1111127425,P1111111281,Bi,100
S1111127426,P1111111281,Bi,100
S1111127427,P1111111281,Bi,100
S1111127428,P1111111281,Bi,100
S1111127429,P1111111281,Bi,100
S1111127430,P1111111281,Bi,100
S1111127431,P1111111281,Bi,100
S1111127432,P1111111281,Bi,100
S1111127433,P1111111281,Bi,100
S1111127434,P1111111281,Bi,100
S1111127435,P1111111281,Bi,100
S1111127436,P1111111281,Bi,100
S1111127437,P1111111281,Bi,100
S1111127438,P1111111281,Bi,100
S1111127439,P1111111281,Bi,100
S1111127440,P1111111281,Bi,100
S1111127441,P1111111281,Bi,100
S1111127442,P1111111281,Bi,100
S1111127443,P1111111281,Bi,100
S1111127444,P1111111281,Bi,100
S1111127445,P1111111281,Bi,100
S1111127446,P1111111281,Bi,100
S1111127447,P1111111281,Bi,100
S1111127448,P1111111281,Bi,100
S1111127449,P1111111281,Bi,100
S1111127450,P1111111281,Bi,100
S1111127451,P1111111281,Bi,100
S1111127452,P1111111281,Bi,100
S1111127453,P1111111281,Bi,100
S1111127454,P1111111281,Bi,100
S1111127455,P1111111281,Bi,100
S1111127456,P1111111281,Bi,100
S1111127457,P1111111281,Bi,100
S1111127458,P1111111281,Bi,100
S1111127459,P1111111281,Bi,100
S1111127460,P1111111281,Bi,100
S1111127461,P1111111281,Bi,100
S1111127462,P1111111281,Bi,100
S1111127463,P1111111281,Bi,100
S1111127464,P1111111281,Bi,100
S1111127465,P1111111281,Bi,100
S1111127466,P1111111281,Bi,100
S1111127467,P1111111281,Bi,100
S1111127468,P1111111281,Bi,100
S1111127469,P1111111281,Bi,100
S1111127470,P1111111281,Bi,100
S1111127471,P1111111281,Bi,100
S1111127472,P1111111281,Bi,100
S1111127473,P1111111281,Bi,100
S1111127474,P1111111281,Bi,100
S1111127475,P1111111281,Bi,100
S1111127476,P1111111281,Bi,100
S1111127477,P1111111281,Bi,100
S1111127478,P1111111281,Bi,100
S1111127479,P1111111281,Bi,100
S1111127480,P1111111281,Bi,100
S1111127481,P1111111281,Bi,100
S1111127482,P1111111281,Bi,100
S1111127483,P1111111281,Bi,100
S1111127484,P1111111281,Bi,100
S1111127485,P1111111281,Bi,100
S1111127486,P1111111281,Bi,100
S1111127487,P1111111281,Bi,100
S1111127488,P1111111281,Bi,100
S1111127489,P1111111281,Bi,100
S1111127490,P1111111281,Bi,100
S1111127491,P1111111281,Bi,100
S1111127492,P1111111282,Bi,100
S1111127493,P1111111282,Bi,100
S1111127494,P1111111282,Bi,100
S1111127495,P1111111282,Bi,100
S1111127496,P1111111282,Bi,100
S1111127497,P1111111282,Bi,100
S1111127498,P1111111283,Bi,100
S1111127499,P1111111283,Bi,100
S1111127500,P1111111283,Bi,100
S1111127501,P1111111283,Bi,100
S1111127502,P1111111283,Bi,100
S1111127503,P1111111283,Bi,100
S1111127504,P1111111283,Bi,100
S1111127505,P1111111283,Bi,100
S1111127506,P1111111283,Bi,100
S1111127507,P1111111283,Bi,100
S1111127508,P1111111283,Bi,100
S1111127509,P1111111283,Bi,100
S1111127510,P1111111283,Bi,100
S1111127511,P1111111283,Bi,100
S1111127512,P1111111283,Bi,100
S1111127513,P1111111283,Bi,100
S1111127514,P1111111283,Bi,100
S1111127515,P1111111283,Bi,100
S1111127516,P1111111283,Bi,100
S1111127517,P1111111283,Bi,100
S1111127518,P1111111283,Bi,100
S1111127519,P1111111283,Bi,100
S1111127520,P1111111283,Bi,100
S1111127521,P1111111283,Bi,100
S1111127522,P1111111283,Bi,100
S1111127523,P1111111283,Bi,100
S1111127524,P1111111283,Bi,100
S1111127525,P1111111283,Bi,100
S1111127526,P1111111283,Bi,100
S1111127527,P1111111283,Bi,100
S1111127528,P1111111283,Bi,100
S1111127529,P1111111283,Bi,100
S1111127530,P1111111283,Bi,100
S1111127531,P1111111283,Bi,100
S1111127532,P1111111283,Bi,100
S1111127533,P1111111283,Bi,100
S1111127534,P1111111283,Bi,100
S1111127535,P1111111283,Bi,100
S1111127536,P1111111283,Bi,100
S1111127537,P1111111283,Bi,100
S1111127538,P1111111283,Bi,100
S1111127539,P1111111283,Bi,100
S1111127540,P1111111283,Bi,100
S1111127541,P1111111283,Bi,100
S1111127542,P1111111283,Bi,100
S1111127543,P1111111283,Bi,100
S1111127544,P1111111283,Bi,100
S1111127545,P1111111283,Bi,100
S1111127546,P1111111283,Bi,100
S1111127547,P1111111283,Bi,100
S1111127548,P1111111283,Bi,100
S1111127549,P1111111283,Bi,100
S1111127550,P1111111283,Bi,100
S1111127551,P1111111283,Bi,100
S1111127552,P1111111283,Bi,100
S1111127553,P1111111283,Bi,100
S1111127554,P1111111283,Bi,100
S1111127555,P1111111283,Bi,100
S1111127556,P1111111283,Bi,100
S1111127557,P1111111283,Bi,100
S1111127558,P1111111283,Bi,100
S1111127559,P1111111283,Bi,100
S1111127560,P1111111283,Bi,100
S1111127561,P1111111283,Bi,100
S1111127562,P1111111283,Bi,100
S1111127563,P1111111283,Bi,100
S1111127564,P1111111283,Bi,100
S1111127565,P1111111283,Bi,100
S1111127566,P1111111283,Bi,100
S1111127567,P1111111283,Bi,100
S1111127568,P1111111283,Bi,100
S1111127569,P1111111283,Bi,100
S1111127570,P1111111283,Bi,100
S1111127571,P1111111283,Bi,100
S1111127572,P1111111283,Bi,100
S1111127573,P1111111283,Bi,100
S1111127574,P1111111283,Bi,100
S1111127575,P1111111283,Bi,100
S1111127576,P1111111283,Bi,100
S1111127577,P1111111283,Bi,100
S1111127578,P1111111283,Bi,100
S1111127579,P1111111283,Bi,100
S1111127580,P1111111283,Bi,100
S1111127581,P1111111283,Bi,100
S1111127582,P1111111283,Bi,100
S1111127583,P1111111283,Bi,100
S1111127584,P1111111283,Bi,100
S1111127585,P1111111283,Bi,100
S1111127586,P1111111283,Bi,100
S1111127587,P1111111283,Bi,100
S1111127588,P1111111283,Bi,100
S1111127589,P1111111283,Bi,100
S1111127590,P1111111283,Bi,100
S1111127591,P1111111283,Bi,100
S1111127592,P1111111283,Bi,100
S1111127593,P1111111283,Bi,100
S1111127594,P1111111283,Bi,100
S1111127595,P1111111283,Bi,100
S1111127596,P1111111283,Bi,100
S1111127597,P1111111283,Bi,100
S1111127598,P1111111283,Bi,100
S1111127599,P1111111283,Bi,100
S1111127600,P1111111283,Bi,100
S1111127601,P1111111283,Bi,100
S1111127602,P1111111283,Bi,100
S1111127603,P1111111283,Bi,100
S1111127604,P1111111283,Bi,100
S1111127605,P1111111283,Bi,100
S1111127606,P1111111283,Bi,100
S1111127607,P1111111283,Bi,100
S1111127608,P1111111283,Bi,100
S1111127609,P1111111283,Bi,100
S1111127610,P1111111283,Bi,100
S1111127611,P1111111283,Bi,100
S1111127612,P1111111283,Bi,100
S1111127613,P1111111283,Bi,100
S1111127614,P1111111283,Bi,100
S1111127615,P1111111283,Bi,100
S1111127616,P1111111283,Bi,100
S1111127617,P1111111283,Bi,100
S1111127618,P1111111283,Bi,100
S1111127619,P1111111283,Bi,100
S1111127620,P1111111283,Bi,100
S1111127621,P1111111283,Bi,100
S1111127622,P1111111283,Bi,100
S1111127623,P1111111283,Bi,100
S1111127624,P1111111283,Bi,100
S1111127625,P1111111283,Bi,100
S1111127626,P1111111283,Bi,100
S1111127627,P1111111283,Bi,100
S1111127628,P1111111283,Bi,100
S1111127629,P1111111283,Bi,100
S1111127630,P1111111283,Bi,100
S1111127631,P1111111283,Bi,100
S1111127632,P1111111283,Bi,100
S1111127633,P1111111283,Bi,100
S1111127634,P1111111283,Bi,100
S1111127635,P1111111283,Bi,100
S1111127636,P1111111283,Bi,100
S1111127637,P1111111283,Bi,100
S1111127638,P1111111283,Bi,100
S1111127639,P1111111283,Bi,100
S1111127640,P1111111283,Bi,100
S1111127641,P1111111283,Bi,100
S1111127642,P1111111283,Bi,100
S1111127643,P1111111283,Bi,100
S1111127644,P1111111283,Bi,100
S1111127645,P1111111283,Bi,100
S1111127646,P1111111283,Bi,100
S1111127647,P1111111283,Bi,100
S1111127648,P1111111283,Bi,100
S1111127649,P1111111283,Bi,100
S1111127650,P1111111283,Bi,100
S1111127651,P1111111283,Bi,100
S1111127652,P1111111283,Bi,100
S1111127653,P1111111283,Bi,100
S1111127654,P1111111283,Bi,100
S1111127655,P1111111283,Bi,100
S1111127656,P1111111283,Bi,100
S1111127657,P1111111283,Bi,100
S1111127658,P1111111283,Bi,100
S1111127659,P1111111283,Bi,100
S1111127660,P1111111284,Bi,100
S1111127661,P1111111284,Bi,100
S1111127662,P1111111284,Bi,100
S1111127663,P1111111284,Bi,100
S1111127664,P1111111284,Bi,100
S1111127665,P1111111284,Bi,100
S1111127666,P1111111284,Bi,100
S1111127667,P1111111284,Bi,100
S1111127668,P1111111284,Bi,100
S1111127669,P1111111284,Bi,100
S1111127670,P1111111284,Bi,100
S1111127671,P1111111284,Bi,100
S1111127672,P1111111284,Bi,100
S1111127673,P1111111284,Bi,100
S1111127674,P1111111284,Bi,100
S1111127675,P1111111284,Bi,100
S1111127676,P1111111284,Bi,100
S1111127677,P1111111284,Bi,100
S1111127678,P1111111284,Bi,100
S1111127679,P1111111284,Bi,100
S1111127680,P1111111284,Bi,100
S1111127681,P1111111284,Bi,100
S1111127682,P1111111284,Bi,100
S1111127683,P1111111284,Bi,100
S1111127684,P1111111284,Bi,100
S1111127685,P1111111284,Bi,100
S1111127686,P1111111284,Bi,100
S1111127687,P1111111284,Bi,100
S1111127688,P1111111285,Bi,100
S1111127689,P1111111285,Bi,100
S1111127690,P1111111285,Bi,100
S1111127691,P1111111285,Bi,100
S1111127692,P1111111285,Bi,100
S1111127693,P1111111285,Bi,100
S1111127694,P1111111285,Bi,100
S1111127695,P1111111285,Bi,100
S1111127696,P1111111285,Bi,100
S1111127697,P1111111285,Bi,100
S1111127698,P1111111285,Bi,100
S1111127699,P1111111285,Bi,100
S1111127700,P1111111285,Bi,100
S1111127701,P1111111285,Bi,100
S1111127702,P1111111285,Bi,100
S1111127703,P1111111285,Bi,100
S1111127704,P1111111285,Bi,100
S1111127705,P1111111285,Bi,100
S1111127706,P1111111285,Bi,100
S1111127707,P1111111285,Bi,100
S1111127708,P1111111285,Bi,100
S1111127709,P1111111285,Bi,100
S1111127710,P1111111285,Bi,100
S1111127711,P1111111285,Bi,100
S1111127712,P1111111285,Bi,100
S1111127713,P1111111285,Bi,100
S1111127714,P1111111285,Bi,100
S1111127715,P1111111285,Bi,100
S1111127716,P1111111285,Bi,100
S1111127717,P1111111285,Bi,100
S1111127718,P1111111285,Bi,100
S1111127719,P1111111285,Bi,100
S1111127720,P1111111285,Bi,100
S1111127721,P1111111285,Bi,100
S1111127722,P1111111285,Bi,100
S1111127723,P1111111285,Bi,100
S1111127724,P1111111285,Bi,100
S1111127725,P1111111285,Bi,100
S1111127726,P1111111285,Bi,100
S1111127727,P1111111285,Bi,100
S1111127728,P1111111285,Bi,100
S1111127729,P1111111285,Bi,100
S1111127730,P1111111285,Bi,100
S1111127731,P1111111285,Bi,100
S1111127732,P1111111285,Bi,100
S1111127733,P1111111285,Bi,100
S1111127734,P1111111285,Bi,100
S1111127735,P1111111285,Bi,100
S1111127736,P1111111286,Bi,100
S1111127737,P1111111286,Bi,100
S1111127738,P1111111286,Bi,100
S1111127739,P1111111286,Bi,100
S1111127740,P1111111286,Bi,100
S1111127741,P1111111286,Bi,100
S1111127742,P1111111286,Bi,100
S1111127743,P1111111286,Bi,100
S1111127744,P1111111286,Bi,100
S1111127745,P1111111286,Bi,100
S1111127746,P1111111286,Bi,100
S1111127747,P1111111286,Bi,100
S1111127748,P1111111286,Bi,100
S1111127749,P1111111286,Bi,100
S1111127750,P1111111286,Bi,100
S1111127751,P1111111286,Bi,100
S1111127752,P1111111286,Bi,100
S1111127753,P1111111286,Bi,100
S1111127754,P1111111286,Bi,100
S1111127755,P1111111286,Bi,100
S1111127756,P1111111286,Bi,100
S1111127757,P1111111286,Bi,100
S1111127758,P1111111286,Bi,100
S1111127759,P1111111286,Bi,100
S1111127760,P1111111286,Bi,100
S1111127761,P1111111286,Bi,100
S1111127762,P1111111286,Bi,100
S1111127763,P1111111286,Bi,100
S1111127764,P1111111286,Bi,100
S1111127765,P1111111286,Bi,100
S1111127766,P1111111286,Bi,100
S1111127767,P1111111286,Bi,100
S1111127768,P1111111286,Bi,100
S1111127769,P1111111286,Bi,100
S1111127770,P1111111286,Bi,100
S1111127771,P1111111286,Bi,100
S1111127772,P1111111286,Bi,100
S1111127773,P1111111286,Bi,100
S1111127774,P1111111286,Bi,100
S1111127775,P1111111286,Bi,100
S1111127776,P1111111286,Bi,100
S1111127777,P1111111286,Bi,100
S1111127778,P1111111286,Bi,100
S1111127779,P1111111286,Bi,100
S1111127780,P1111111286,Bi,100
S1111127781,P1111111286,Bi,100
S1111127782,P1111111286,Bi,100
S1111127783,P1111111286,Bi,100
S1111127784,P1111111286,Bi,100
S1111127785,P1111111286,Bi,100
S1111127786,P1111111286,Bi,100
S1111127787,P1111111286,Bi,100
S1111127788,P1111111286,Bi,100
S1111127789,P1111111286,Bi,100
S1111127790,P1111111286,Bi,100
S1111127791,P1111111286,Bi,100
S1111127792,P1111111286,Bi,100
S1111127793,P1111111286,Bi,100
S1111127794,P1111111286,Bi,100
S1111127795,P1111111286,Bi,100
S1111127796,P1111111286,Bi,100
S1111127797,P1111111286,Bi,100
S1111127798,P1111111286,Bi,100
S1111127799,P1111111286,Bi,100
S1111127800,P1111111286,Bi,100
S1111127801,P1111111286,Bi,100
S1111127802,P1111111286,Bi,100
S1111127803,P1111111286,Bi,100
S1111127804,P1111111286,Bi,100
S1111127805,P1111111286,Bi,100
S1111127806,P1111111286,Bi,100
S1111127807,P1111111286,Bi,100
S1111127808,P1111111286,Bi,100
S1111127809,P1111111286,Bi,100
S1111127810,P1111111286,Bi,100
S1111127811,P1111111286,Bi,100
S1111127812,P1111111286,Bi,100
S1111127813,P1111111286,Bi,100
S1111127814,P1111111286,Bi,100
S1111127815,P1111111286,Bi,100
S1111127816,P1111111286,Bi,100
S1111127817,P1111111286,Bi,100
S1111127818,P1111111286,Bi,100
S1111127819,P1111111286,Bi,100
S1111127820,P1111111286,Bi,100
S1111127821,P1111111286,Bi,100
S1111127822,P1111111286,Bi,100
S1111127823,P1111111286,Bi,100
S1111127824,P1111111286,Bi,100
S1111127825,P1111111286,Bi,100
S1111127826,P1111111286,Bi,100
S1111127827,P1111111286,Bi,100
S1111127828,P1111111286,Bi,100
S1111127829,P1111111286,Bi,100
S1111127830,P1111111286,Bi,100
S1111127831,P1111111286,Bi,100
S1111127832,P1111111286,Bi,100
S1111127833,P1111111286,Bi,100
S1111127834,P1111111286,Bi,100
S1111127835,P1111111286,Bi,100
S1111127836,P1111111286,Bi,100
S1111127837,P1111111286,Bi,100
S1111127838,P1111111286,Bi,100
S1111127839,P1111111286,Bi,100
S1111127840,P1111111286,Bi,100
S1111127841,P1111111286,Bi,100
S1111127842,P1111111286,Bi,100
S1111127843,P1111111286,Bi,100
S1111127844,P1111111286,Bi,100
S1111127845,P1111111286,Bi,100
S1111127846,P1111111287,Bi,100
S1111127847,P1111111287,Bi,100
S1111127848,P1111111287,Bi,100
S1111127849,P1111111287,Bi,100
S1111127850,P1111111287,Bi,100
S1111127851,P1111111287,Bi,100
S1111127852,P1111111287,Bi,100
S1111127853,P1111111287,Bi,100
S1111127854,P1111111287,Bi,100
S1111127855,P1111111287,Bi,100
S1111127856,P1111111287,Bi,100
S1111127857,P1111111287,Bi,100
S1111127858,P1111111287,Bi,100
S1111127859,P1111111287,Bi,100
S1111127860,P1111111287,Bi,100
S1111127861,P1111111287,Bi,100
S1111127862,P1111111287,Bi,100
S1111127863,P1111111287,Bi,100
S1111127864,P1111111287,Bi,100
S1111127865,P1111111287,Bi,100
S1111127866,P1111111287,Bi,100
S1111127867,P1111111287,Bi,100
S1111127868,P1111111287,Bi,100
S1111127869,P1111111287,Bi,100
S1111127870,P1111111287,Bi,100
S1111127871,P1111111287,Bi,100
S1111127872,P1111111287,Bi,100
S1111127873,P1111111287,Bi,100
S1111127874,P1111111287,Bi,100
S1111127875,P1111111287,Bi,100
S1111127876,P1111111287,Bi,100
S1111127877,P1111111287,Bi,100
S1111127878,P1111111287,Bi,100
S1111127879,P1111111287,Bi,100
S1111127880,P1111111287,Bi,100
S1111127881,P1111111287,Bi,100
S1111127882,P1111111287,Bi,100
S1111127883,P1111111287,Bi,100
S1111127884,P1111111287,Bi,100
S1111127885,P1111111287,Bi,100
S1111127886,P1111111287,Bi,100
S1111127887,P1111111287,Bi,100
S1111127888,P1111111287,Bi,100
S1111127889,P1111111287,Bi,100
S1111127890,P1111111287,Bi,100
S1111127891,P1111111287,Bi,100
S1111127892,P1111111287,Bi,100
S1111127893,P1111111287,Bi,100
S1111127894,P1111111287,Bi,100
S1111127895,P1111111287,Bi,100
S1111127896,P1111111287,Bi,100
S1111127897,P1111111288,Bi,100
S1111127898,P1111111288,Bi,100
S1111127899,P1111111288,Bi,100
S1111127900,P1111111288,Bi,100
S1111127901,P1111111288,Bi,100
S1111127902,P1111111288,Bi,100
S1111127903,P1111111288,Bi,100
S1111127904,P1111111288,Bi,100
S1111127905,P1111111288,Bi,100
S1111127906,P1111111288,Bi,100
S1111127907,P1111111288,Bi,100
S1111127908,P1111111288,Bi,100
S1111127909,P1111111288,Bi,100
S1111127910,P1111111288,Bi,100
S1111127911,P1111111288,Bi,100
S1111127912,P1111111288,Bi,100
S1111127913,P1111111288,Bi,100
S1111127914,P1111111288,Bi,100
S1111127915,P1111111288,Bi,100
S1111127916,P1111111288,Bi,100
S1111127917,P1111111288,Bi,100
S1111127918,P1111111288,Bi,100
S1111127919,P1111111288,Bi,100
S1111127920,P1111111288,Bi,100
S1111127921,P1111111288,Bi,100
S1111127922,P1111111288,Bi,100
S1111127923,P1111111288,Bi,100
S1111127924,P1111111288,Bi,100
S1111127925,P1111111288,Bi,100
S1111127926,P1111111288,Bi,100
S1111127927,P1111111288,Bi,100
S1111127928,P1111111288,Bi,100
S1111127929,P1111111288,Bi,100
S1111127930,P1111111288,Bi,100
S1111127931,P1111111288,Bi,100
S1111127932,P1111111288,Bi,100
S1111127933,P1111111288,Bi,100
S1111127934,P1111111288,Bi,100
S1111127935,P1111111288,Bi,100
S1111127936,P1111111288,Bi,100
S1111127937,P1111111288,Bi,100
S1111127938,P1111111288,Bi,100
S1111127939,P1111111288,Bi,100
S1111127940,P1111111288,Bi,100
S1111127941,P1111111288,Bi,100
S1111127942,P1111111288,Bi,100
S1111127943,P1111111288,Bi,100
S1111127944,P1111111288,Bi,100
S1111127945,P1111111288,Bi,100
S1111127946,P1111111288,Bi,100
S1111127947,P1111111288,Bi,100
S1111127948,P1111111288,Bi,100
S1111127949,P1111111288,Bi,100
S1111127950,P1111111288,Bi,100
S1111127951,P1111111288,Bi,100
S1111127952,P1111111288,Bi,100
S1111127953,P1111111288,Bi,100
S1111127954,P1111111288,Bi,100
S1111127955,P1111111288,Bi,100
S1111127956,P1111111288,Bi,100
S1111127957,P1111111288,Bi,100
S1111127958,P1111111288,Bi,100
